source,monobit_p,chi2_p,runs_p,bit_proportion,passed
HashPRNG,0.785655944732163,0.9264843026609259,0.8992506087420182,0.499785,True
Hash_DRBG,0.12432589610371421,0.00028558443667667775,0.9365317565500417,0.501215,False
os.urandom,0.9747728793699604,0.5754771316712932,0.637511518747902,0.499975,True
MT19937 (insecure),0.8272754988967479,0.6448115213234256,0.646625558452451,0.4998275,True
